,Unnamed: 0,CMPLNT_NUM,CMPLNT_FR_DT,OFNS_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,STATION_NAME
783859,4297776,870125828,01/10/2019,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,986848.0,212883.0,40.75099904800004,-73.99062471199994,"(40.75099904800004, -73.99062471199994)",34 ST.-PENN STATION
783911,4297834,115985553,01/01/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,1027615.0,187224.0,40.680465388000066,-73.84365335199995,"(40.680465388000066, -73.84365335199995)",ROCKAWAY BLVD.
784029,4297982,394040417,01/07/2019,FORGERY,COMPLETED,FELONY,MANHATTAN,1000414.0,230243.0,40.79863330000006,-73.94162037099994,"(40.79863330000006, -73.94162037099994)",116 STREET
784053,4298008,746399689,01/08/2019,FORGERY,COMPLETED,FELONY,MANHATTAN,989294.0,215445.0,40.75803003100003,-73.98179465299995,"(40.75803003100003, -73.98179465299995)",47-50 STS./ROCKEFELLER CTR.
784069,4298028,408044205,01/10/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,999667.0,199605.0,40.71454114400007,-73.94438863099998,"(40.71454114400007, -73.94438863099998)",GRAHAM AVENUE
784151,4298125,795659553,01/10/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,988650.0,214286.0,40.754849215000036,-73.98411999099994,"(40.754849215000036, -73.98411999099994)",42 STREET
784179,4298155,648413445,01/03/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,999342.0,233575.0,40.807780622000045,-73.94548472699995,"(40.807780622000045, -73.94548472699995)",125 STREET
784279,4298267,798426927,01/13/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,986848.0,212883.0,40.75099904800004,-73.99062471199994,"(40.75099904800004, -73.99062471199994)",34 ST.-PENN STATION
784314,4298308,860773328,01/16/2019,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,983551.0,208788.0,40.739759650000046,-74.00252386299998,"(40.739759650000046, -74.00252386299998)",14 STREET
784353,4298356,516736974,01/09/2019,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,MANHATTAN,987521.0,201066.0,40.718564066000056,-73.98820145399995,"(40.718564066000056, -73.98820145399996)",DELANCEY STREET
